Reference, Quantity, Value, Footprint, Datasheet, Part Number, Manufacturer, Order Code
C1 C8 ,2,100n,Capacitors_SMD:C_0805,,MC0805B104K250CT,Multicomp,1759166
C2 C3 ,2,10n,Capacitors_SMD:C_0805,,MCU0805R103KCT,Multicomp,9306352
C4 C5 C6 C7 ,4,4u7/25V,Capacitors_SMD:C_0805,,GRM21BR61E475MA12L,Murata,2362111
D1 D2 ,2,RED,LEDs:LED-1206,,SML-LX1206IW-TR,Lumex,2062231
D3 D4 ,2,YELLOW,LEDs:LED-1206,,HSMY-C150,Avago,8554773
D5 D6 ,2,PMEG2020,Diodes_SMD:SOD-323,,PMEG2020AEA,NXP,8737940
P1 ,1,Header_1x14,Pin_Headers:Pin_Header_Straight_1x14,,MC34735,Multicomp,1593421
P10 ,1,Socket_1x4,jakub:ESQ-104-33-G-S,,ESQ-104-33-G-S,Samtec,1928522
P11 P12 ,2,Header_R/A_2x3,Pin_Headers:Pin_Header_Angled_2x03,,2213R-06G,Multicomp,1593449
P2 ,1,Socket_1x14,jakub:ESQ-114-33-G-S,,ESQ-114-33-G-S,Samtec,1930609
P3 ,1,12-way Micro-MaTch,jakub:1-188275-2,,8-188275-2,TE Connectivity,3784757
P4 P5 ,2,Jack_3.5mm_3pin,jakub:MJ4435-R,,MJ4435-R,Multicomp,1638670
P6 P7 ,2,RCA_3,jakub:PSG01544,,PSG01540,Pro Signal,1280698
P8 ,1,Socket_1x6,jakub:ESQ-106-33-G-S,,ESQ-106-33-G-S,Samtec,1928680
P9 ,1,Header_1x4,Pin_Headers:Pin_Header_Straight_1x04,,HTSW-104-15-G-S,Samtec,1926221
R1 R10 R11 R12 R19 R2 R3 R4 R5 R6 R7 R8 R9 ,13,0R,Resistors_SMD:R_0805,,MCMR08X000 PTL,Multicomp,2073603
R13 R14 ,2,270k,Resistors_SMD:R_0805,,MCSR08X2703FTL,Multicomp,2074426
R15 R16 R17 R18 ,4,10k,Resistors_SMD:R_0805,,MCMR08X1002FTL,Multicomp,2073607
U1 ,1,PCA9306,Housings_SSOP:TSSOP-8_3x3mm_Pitch0.65mm,,PCA9306DP,NXP,2212072
U2 U3 ,2,DRV103,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,DRV103UG4,Texas Instruments,1206892
U4 ,1,MCP4728,Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm,,MCP4728-E/UN,Microchip,1800217